จำนวนการเกิด จากการทะเบียน จำแนกตามเพศ ภาค และจังหวัด พ.ศ. 2555 - 2565,,,,,,,,,,,,,
หน่วย : คน,,,,,,,,,,,,,
,,หญิง,"3,090","2,917","2,905","2,633","2,566","2,379","2,323","2,112","2,029","2,060","1,835"
,ตาก,รวม,"9,006","9,145","9,507","8,777","8,626","12,018","11,497","12,359","10,061","9,174","9,931"
,,ชาย,"4,636","4,696","4,866","4,601","4,372","6,106","5,930","6,293","5,171","4,843","5,174"
,,หญิง,"4,370","4,449","4,641","4,176","4,254","5,912","5,567","6,066","4,890","4,331","4,757"
,สุโขทัย,รวม,"5,156","4,731","4,629","4,352","4,169","3,921","3,583","3,300","3,216","3,035","2,775"
,,ชาย,"2,703","2,422","2,385","2,241","2,118","2,004","1,831","1,644","1,673","1,517","1,426"
,,หญิง,"2,453","2,309","2,244","2,111","2,051","1,917","1,752","1,656","1,543","1,518","1,349"
,พิษณุโลก,รวม,"9,376","8,776","8,874","8,444","7,961","7,908","7,608","7,105","6,628","6,408","5,831"
,,ชาย,"4,846","4,647","4,572","4,314","4,131","4,062","3,920","3,641","3,410","3,306","3,022"
,,หญิง,"4,530","4,129","4,302","4,130","3,830","3,846","3,688","3,464","3,218","3,102","2,809"
,พิจิตร,รวม,"5,366","4,960","4,782","4,357","4,020","3,942","3,595","3,393","3,363","3,167","3,019"
,,ชาย,"2,829","2,511","2,458","2,284","2,063","2,030","1,803","1,681","1,750","1,605","1,599"
,,หญิง,"2,537","2,449","2,324","2,073","1,957","1,912","1,792","1,712","1,613","1,562","1,420"
,เพชรบูรณ์,รวม,"8,951","8,280","8,042","7,622","7,473","7,296","6,752","6,464","6,236","5,963","5,492"
,,ชาย,"4,598","4,246","4,106","3,927","3,910","3,768","3,556","3,379","3,247","3,052","2,873"
,,หญิง,"4,353","4,034","3,936","3,695","3,563","3,528","3,196","3,085","2,989","2,911","2,619"
ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,รวม,"230,933","213,880","210,478","196,982","189,532","186,144","177,035","165,594","158,679","150,987","138,849"
,,ชาย,"118,684","109,698","108,108","101,043","97,348","95,776","90,786","84,821","81,654","77,678","71,608"
,,หญิง,"112,249","104,182","102,370","95,939","92,184","90,368","86,249","80,773","77,025","73,309","67,241"
,นครราชสีมา,รวม,"28,623","26,922","26,769","25,177","24,048","23,705","22,660","21,171","20,299","19,197","17,773"
,,ชาย,"14,833","13,741","13,623","12,928","12,214","12,260","11,631","10,878","10,567","9,907","9,114"
,,หญิง,"13,790","13,181","13,146","12,249","11,834","11,445","11,029","10,293","9,732","9,290","8,659"
,บุรีรัมย์,รวม,"16,636","15,489","15,369","14,390","13,565","13,320","12,727","11,830","11,373","10,655","9,953"
,,ชาย,"8,655","7,952","7,938","7,437","6,984","6,815","6,546","6,049","5,871","5,389","5,116"
,,หญิง,"7,981","7,537","7,431","6,953","6,581","6,505","6,181","5,781","5,502","5,266","4,837"
,สุรินทร์,รวม,"14,680","13,507","13,383","12,609","12,140","11,791","11,139","10,333","9,962","9,486","8,669"
,,ชาย,"7,471","6,998","6,804","6,385","6,183","6,026","5,580","5,307","5,114","4,959","4,520"
,,หญิง,"7,209","6,509","6,579","6,224","5,957","5,765","5,559","5,026","4,848","4,527","4,149"
,ศรีสะเกษ,รวม,"14,374","13,106","12,923","12,097","11,658","11,163","10,516","10,103","9,904","9,462","8,741"
,,ชาย,"7,310","6,702","6,638","6,187","5,945","5,738","5,472","5,183","5,170","4,906","4,448"
,,หญิง,"7,064","6,404","6,285","5,910","5,713","5,425","5,044","4,920","4,734","4,556","4,293"
,อุบลราชธานี,รวม,"21,802","20,122","19,947","18,783","18,170","17,574","17,089","16,541","15,726","15,051","13,845"
,,ชาย,"11,194","10,261","10,302","9,474","9,340","9,038","8,794","8,442","8,144","7,688","7,222"
,,หญิง,"10,608","9,861","9,645","9,309","8,830","8,536","8,295","8,099","7,582","7,363","6,623"
,ยโสธร,รวม,"4,994","4,659","4,422","4,325","4,073","3,823","3,581","3,355","3,407","3,420","3,062"
,,ชาย,"2,508","2,366","2,272","2,150","2,137","1,953","1,804","1,712","1,745","1,750","1,599"
,,หญิง,"2,486","2,293","2,150","2,175","1,936","1,870","1,777","1,643","1,662","1,670","1,463"
,ชัยภูมิ,รวม,"10,728","9,779","9,623","8,892","8,500","8,470","8,067","7,463","7,336","6,813","6,384"
,,ชาย,"5,547","5,012","4,933","4,592","4,415","4,320","4,059","3,809","3,807","3,505","3,308"
,,หญิง,"5,181","4,767","4,690","4,300","4,085","4,150","4,008","3,654","3,529","3,308","3,076"
,อำนาจเจริญ,รวม,"3,627","3,464","3,283","3,036","2,938","3,045","2,841","2,475","2,637","2,648","2,291"
,,ชาย,"1,849","1,731","1,661","1,509","1,527","1,531","1,455","1,336","1,328","1,375","1,172"
,,หญิง,"1,778","1,733","1,622","1,527","1,411","1,514","1,386","1,139","1,309","1,273","1,119"
,บึงกาฬ,รวม,"5,341","4,971","4,463","4,117","3,795","3,721","3,726","3,359","3,248","3,093","2,975"
,,ชาย,"2,704","2,513","2,377","2,145","1,974","1,873","1,907","1,623","1,693","1,572","1,516"
,,หญิง,"2,637","2,458","2,086","1,972","1,821","1,848","1,819","1,736","1,555","1,521","1,459"
,หนองบัวลำภู,รวม,"5,270","4,920","4,814","4,538","4,295","4,281","3,944","3,790","3,586","3,349","3,070"
